TF	Target	SignedQuantile	AveStability	AvePCorr	stroke	stroke-width	stroke-dasharray
Osr2	Sugt1	0.74559	49.82	0.398	rgb(221,141,142)	1.9873	2,2
Pcgf2	Il2ra	0.74559	49.82	0.317	rgb(220,157,157)	1.9873	2,2
Phf1	Slc25a45	0.74559	49.82	0.397	rgb(221,141,142)	1.9873	2,2
Pknox1	Egr4	0.74559	49.82	0.322	rgb(221,155,156)	1.9873	2,2
Plag1	Fbn1	0.74559	49.82	0.315	rgb(220,157,157)	1.9873	2,2
Plagl1	Tmem43	-0.74559	49.82	-3.2E-01	rgb(147,175,229)	1.9873	2,2
Pou2f2	Ccl9	0.74559	49.82	0.324	rgb(221,155,156)	1.9873	2,2
Pou2f2	Sord	0.74559	49.82	0.317	rgb(220,156,157)	1.9873	2,2
Pparg	Dnajc12	0.74559	49.82	0.319	rgb(221,156,157)	1.9873	2,2
Prdm16	Dnajc21	0.74559	49.82	0.325	rgb(221,155,156)	1.9873	2,2
Prdm16	Mpdu1	0.74559	49.82	0.464	rgb(222,128,129)	1.9873	2,2
Prdm16	Pcdhgc4	-0.74559	49.82	-3.2E-01	rgb(147,175,229)	1.9873	2,2
Prox1	Galnt3	0.74559	49.82	0.316	rgb(220,157,157)	1.9873	2,2
Prox1	S100a4	0.74559	49.82	0.316	rgb(220,157,157)	1.9873	2,2
Prox1	Stx1a	0.74559	49.82	0.317	rgb(220,156,157)	1.9873	2,2
Prox1	Uchl1	0.74559	49.82	0.325	rgb(221,155,156)	1.9873	2,2
Rarg	Il17re	0.74559	49.82	0.317	rgb(220,156,157)	1.9873	2,2
Rbpj	Lrmp	-0.74559	49.82	-3.2E-01	rgb(148,175,229)	1.9873	2,2
Rel	Mical1	-0.74559	49.82	-3.2E-01	rgb(148,175,229)	1.9873	2,2
Rela	Tnfrsf13c	0.74559	49.82	0.325	rgb(221,155,156)	1.9873	None
Relb	Agpat9	-0.74559	49.82	-3.2E-01	rgb(147,175,229)	1.9873	2,2
Relb	B4galnt4	-0.74559	49.82	-3.2E-01	rgb(147,174,229)	1.9873	2,2
Relb	Pla2g4f	0.74559	49.82	0.315	rgb(220,157,157)	1.9873	2,2
Rfx7	Rpusd2	0.74559	49.82	0.32	rgb(221,156,157)	1.9873	2,2
Rorc	Gata3	-0.74559	49.82	-3.2E-01	rgb(147,174,229)	1.9873	2,2
Rorc	Klf3	-0.74559	49.82	-3.2E-01	rgb(147,174,229)	1.9873	2,2
Rreb1	Srpk2	-0.74559	49.82	-3.2E-01	rgb(148,175,229)	1.9873	None
Runx2	Specc1	0.74559	49.82	0.317	rgb(220,156,157)	1.9873	2,2
Runx3	Snhg6	-0.74559	49.82	-3.2E-01	rgb(147,174,229)	1.9873	2,2
Satb1	Hmox1	0.74559	49.82	0.318	rgb(221,156,157)	1.9873	2,2
Satb1	Stc2	0.74559	49.82	0.32	rgb(221,156,156)	1.9873	2,2
Sgsm2	Lmtk3	0.74559	49.82	0.32	rgb(221,156,156)	1.9873	2,2
Sgsm2	Sema6d	-0.74559	49.82	-3.2E-01	rgb(148,175,229)	1.9873	2,2
Six5	Il12rb1	0.74559	49.82	0.322	rgb(221,155,156)	1.9873	2,2
Smad4	Vax2	-0.74559	49.82	-3.2E-01	rgb(147,175,229)	1.9873	2,2
Sox5	Gimap4	0.74559	49.82	0.318	rgb(220,156,157)	1.9873	2,2
Sox5	Pmm1	0.74559	49.82	0.32	rgb(221,156,157)	1.9873	2,2
Sp140	Mx1	0.74559	49.82	0.323	rgb(221,155,156)	1.9873	2,2
Sp4	Cenpw	0.74559	49.82	0.32	rgb(221,156,157)	1.9873	2,2
Sp6	Arrb1	-0.74559	49.82	-3.2E-01	rgb(147,175,229)	1.9873	2,2
Spib	Ltb	0.74559	49.82	0.322	rgb(221,155,156)	1.9873	2,2
Srebf2	Fas	0.74559	49.82	0.322	rgb(221,155,156)	1.9873	None
Stat3	Ccl20	0.74559	49.82	0.322	rgb(221,156,156)	1.9873	None
Stat4	Crtam	0.74559	49.82	0.317	rgb(220,157,157)	1.9873	2,2
Tcf3	Sytl2	0.74559	49.82	0.321	rgb(221,156,156)	1.9873	2,2
Tead1	Car2	-0.74559	49.82	-3.2E-01	rgb(148,175,229)	1.9873	2,2
Tead3	Map3k6	0.74559	49.82	0.322	rgb(221,156,156)	1.9873	2,2
Tfdp2	Arhgef6	0.74559	49.82	0.317	rgb(220,156,157)	1.9873	2,2
Thap3	Gatsl3	0.74559	49.82	0.324	rgb(221,155,156)	1.9873	2,2
Thra	Hmgcl	0.74559	49.82	0.319	rgb(221,156,157)	1.9873	2,2
Trerf1	Dlgap3	-0.74559	49.82	-3.2E-01	rgb(148,175,229)	1.9873	2,2
Trerf1	Plod2	-0.74559	49.82	-3.2E-01	rgb(148,175,229)	1.9873	2,2
Trps1	Acsl4	0.74559	49.82	0.317	rgb(220,156,157)	1.9873	2,2
Tulp3	S100a6	-0.74559	49.82	-3.2E-01	rgb(149,175,229)	1.9873	2,2
Twist1	Arhgap22	0.74559	49.82	0.322	rgb(221,155,156)	1.9873	2,2
Twist1	Slc25a30	-0.74559	49.82	-3.2E-01	rgb(147,174,229)	1.9873	2,2
Twist1	Ypel5	-0.74559	49.82	-3.2E-01	rgb(148,175,229)	1.9873	2,2
Vax2	Cpne6	0.74559	49.82	0.32	rgb(221,156,156)	1.9873	2,2
Vax2	Heg1	-0.74559	49.82	-3.2E-01	rgb(147,174,229)	1.9873	2,2
Zbtb17	Pgm1	-0.74559	49.82	-4.1E-01	rgb(129,163,232)	1.9873	2,2
Zfhx2	Zfp36l1	0.74559	49.82	0.317	rgb(220,156,157)	1.9873	2,2
Zfp109	Clcnkb	0.74559	49.82	0.315	rgb(220,157,157)	1.9873	2,2
Zfp111	Col27a1	0.74559	49.82	0.32	rgb(221,156,156)	1.9873	2,2
Zfp113	Ptpn1	-0.74559	49.82	-3.3E-01	rgb(146,174,229)	1.9873	2,2
Zfp148	Rab11fip1	0.74559	49.82	0.324	rgb(221,155,156)	1.9873	2,2
Zfp148	Sdc1	0.74559	49.82	0.319	rgb(221,156,157)	1.9873	2,2
Zfp191	Pik3r3	0.74559	49.82	0.324	rgb(221,155,156)	1.9873	2,2
Zfp277	Kcna3	-0.74559	49.82	-3.2E-01	rgb(147,175,229)	1.9873	2,2
Zfp280b	D430041D05Rik	0.74559	49.82	0.32	rgb(221,156,157)	1.9873	2,2
Zfp280b	Emb	-0.74559	49.82	-3.2E-01	rgb(149,175,229)	1.9873	2,2
Zfp334	Inpp4b	0.74559	49.82	0.32	rgb(221,156,157)	1.9873	2,2
Zfp382	Dst	-0.74559	49.82	-3.2E-01	rgb(147,174,229)	1.9873	2,2
Zfp385a	Tekt2	0.74559	49.82	0.324	rgb(221,155,156)	1.9873	2,2
Zfp385a	Tex261	0.74559	49.82	0.319	rgb(221,156,157)	1.9873	2,2
