TF	Target	SignedQuantile	AveStability	AvePCorr	stroke	stroke-width	stroke-dasharray
Egr1	Egr3	0.99765	50.23	0.728	rgb(225, 78, 79)	1.9956	None
Hif1a	Aldoa	0.99765	50.24	0.74	rgb(225, 76, 77)	1.9958	None
Hif1a	Plod2	0.99765	50.24	0.739	rgb(225, 76, 77)	1.9958	None
Ikzf4	Treml2	0.99765	50.2	0.7	rgb(225, 83, 85)	1.9949	2,2
Maf	Ctla2a	0.99765	50.23	0.734	rgb(225, 77, 78)	1.9956	None
Nfkb2	Psd	0.99765	50.2	0.703	rgb(225, 83, 84)	1.9949	2,2
Tfdp2	Oxct1	0.99765	50.2	0.696	rgb(225, 84, 85)	1.9949	2,2
Zbed6	Zfp445	0.99765	50.23	0.733	rgb(225, 77, 78)	1.9956	None
Zfp367	Rpa2	0.99765	50.2	0.705	rgb(225, 82, 84)	1.9949	2,2
Foxs1	S100a4	0.99762	50.19	0.689	rgb(225, 85, 87)	1.9947	2,2
Whsc1	Fancm	0.99762	50.23	0.733	rgb(225, 77, 79)	1.9956	2,2
Epas1	Bnip3	0.99739	50.19	0.693	rgb(225, 85, 86)	1.9947	None
Gabpa	Gpatch4	0.99739	50.19	0.69	rgb(225, 85, 87)	1.9947	None
Hbp1	Zc3h7b	0.99739	50.19	0.693	rgb(225, 85, 86)	1.9947	None
Hic1	Atad2b	0.99739	50.19	0.687	rgb(225, 86, 87)	1.9947	None
Hif1a	Egln1	0.99739	50.19	0.692	rgb(225, 85, 86)	1.9947	None
Irf9	Pyhin1	0.99739	50.19	0.69	rgb(225, 85, 87)	1.9947	2,2
Klf4	Pip5kl1	0.99739	50.19	0.687	rgb(225, 86, 87)	1.9947	None
Meis1	Itgb7	0.99739	50.19	0.689	rgb(225, 85, 87)	1.9947	None
Pparg	Rilpl2	0.99739	50.19	0.686	rgb(225, 86, 87)	1.9947	None
Sgsm2	Tert	0.99739	50.19	0.686	rgb(225, 86, 87)	1.9947	2,2
Stat1	Zbp1	0.99739	50.19	0.686	rgb(225, 86, 87)	1.9947	None
Zfp467	Wnt10a	0.99739	50.19	0.69	rgb(225, 85, 87)	1.9947	2,2
Bhlhe40	Anxa2	0.9973	50.22	0.724	rgb(225, 79, 80)	1.9953	None
Mybl1	Gtse1	0.9973	50.22	0.716	rgb(225, 80, 82)	1.9953	None
Nfil3	Epn2	0.9973	50.22	0.719	rgb(225, 80, 81)	1.9953	None
Smad3	Tmem19	-0.9973	50.22	-7.2E-01	rgb( 61,122,244)	1.9953	None
Sp2	Psmd8	-0.9973	50.22	-7.2E-01	rgb( 60,122,244)	1.9953	None
Cebpg	Psph	0.99713	50.23	0.727	rgb(225, 78, 80)	1.9956	2,2
Foxo3	Cdkn2b	0.99713	50.23	0.734	rgb(225, 77, 78)	1.9956	None
Gabpa	Chrne	0.99713	50.23	0.732	rgb(225, 77, 79)	1.9956	None
Hif1a	Unc13a	0.99713	50.23	0.733	rgb(225, 77, 79)	1.9956	2,2
Klf2	Sell	0.99713	50.23	0.732	rgb(225, 77, 79)	1.9956	None
Srebf1	Hmgcr	0.99713	50.23	0.732	rgb(225, 77, 79)	1.9956	2,2
Trerf1	Cd80	-0.99713	50.23	-7.3E-01	rgb( 58,120,245)	1.9956	None
Zeb2	Itga5	0.99713	50.23	0.729	rgb(225, 78, 79)	1.9956	None
