TF	Target	SignedQuantile	AveStability	AvePCorr	stroke	stroke-width	stroke-dasharray
Ahrr	Klre1	0.99644	49.96	0.458	rgb(222,130,130)	1.9926	2,2
Creb3l2	Gprc5a	0.99642	49.935	0.437	rgb(222,134,134)	1.9921	2,2
Ybx2	Fam198a	0.9964	49.945	0.446	rgb(222,132,133)	1.9923	2,2
Zfp467	Olfml2a	0.99639	49.945	0.446	rgb(222,132,133)	1.9923	2,2
Creb3l2	Spint1	0.99637	49.93	0.429	rgb(222,135,136)	1.992	2,2
Dr1	Idi1	0.99635	49.935	0.436	rgb(222,134,135)	1.9921	2,2
Kdm5b	Sap30	0.99633	49.965	0.465	rgb(222,128,129)	1.9927	2,2
Ahrr	Treml2	0.99631	49.965	0.462	rgb(222,129,130)	1.9927	2,2
Zfp385a	Robo3	0.99629	49.9425	0.443	rgb(222,132,133)	1.9922	2,2
Zhx2	Ctnnd1	-0.99627	49.96	-4.6E-01	rgb(117,156,234)	1.9926	2,2
Batf	Igfbp7	-0.99625	49.93	-4.3E-01	rgb(124,160,233)	1.992	2,2
Arid5a	Susd3	0.99624	49.965	0.295	rgb(220,161,161)	1.9927	None
Hmgb3	Nrgn	0.99622	49.935	0.435	rgb(222,134,135)	1.9921	2,2
Zfp629	Synj1	-0.9962	49.9425	-4.4E-01	rgb(121,159,234)	1.9922	2,2
Zfp429	Acnat1	-0.99618	49.935	-4.3E-01	rgb(123,160,233)	1.9921	2,2
Zbtb7c	Scarf2	0.99616	49.945	0.445	rgb(222,132,133)	1.9923	2,2
Phf20	Fyco1	0.99614	49.9325	0.432	rgb(222,135,135)	1.992	2,2
Zfp608	Serpinb1a	0.99612	49.975	0.477	rgb(222,126,127)	1.9929	2,2
Ovol2	Sgip1	0.99611	49.9275	0.427	rgb(222,135,136)	1.9919	2,2
Plscr1	Dhrs9	0.99609	49.925	0.424	rgb(222,136,137)	1.9919	2,2
Klf13	Trmt11	-0.99607	49.94	-4.4E-01	rgb(121,159,234)	1.9922	2,2
Hif3a	Kbtbd13	0.99605	49.925	0.424	rgb(222,136,137)	1.9919	2,2
Sp110	4833439L19Rik	0.99603	50.01	0.51	rgb(223,120,121)	1.9936	2,2
Lin54	Rpp14	-0.99601	49.9625	-4.6E-01	rgb(117,156,235)	1.9926	2,2
Zfp429	Klrd1	0.99599	49.925	0.425	rgb(222,136,137)	1.9919	2,2
Sgsm2	Unc93b1	0.99598	49.935	0.434	rgb(222,134,135)	1.9921	2,2
Zfp511	Nt5dc1	-0.99596	49.9225	-4.3E-01	rgb(125,161,233)	1.9918	2,2
Thap3	Dpm3	0.99594	49.97	0.471	rgb(222,127,128)	1.9928	2,2
Bcl11b	Nfatc2	0.99592	49.9375	0.438	rgb(222,133,134)	1.9921	2,2
Zfp956	Ikbke	0.9959	49.945	0.446	rgb(222,132,133)	1.9923	2,2
Akna	C2cd3	0.99588	49.94	0.44	rgb(222,133,134)	1.9922	2,2
Zfp960	F2rl1	-0.99586	49.9375	-4.4E-01	rgb(122,159,234)	1.9921	2,2
