TF	Target	SignedQuantile	AveStability	AvePCorr	stroke	stroke-width	stroke-dasharray
Foxo3	Il10	-0.7449	49.84	-3.4E-01	rgb(144,172,230)	1.9877	None
Foxo3	Rpl14	-0.7449	49.84	-3.4E-01	rgb(143,172,230)	1.9877	2,2
Foxp3	Adam12	0.7449	49.84	0.368	rgb(221,147,147)	1.9877	2,2
Foxs1	Foxo1	-0.7449	49.84	-3.4E-01	rgb(142,171,230)	1.9877	2,2
Gabpa	Rpa2	-0.7449	49.84	-4.5E-01	rgb(119,158,234)	1.9877	None
Gata2	Ddah1	0.7449	49.84	0.344	rgb(221,151,152)	1.9877	None
Glis2	Adamtsl5	0.7449	49.84	0.338	rgb(221,152,153)	1.9877	2,2
Hey1	Iltifb	0.7449	49.84	0.335	rgb(221,153,154)	1.9877	2,2
Hic1	Rnf19b	0.7449	49.84	0.338	rgb(221,152,153)	1.9877	None
Hlx	Ptpn4	-0.7449	49.84	-3.4E-01	rgb(143,172,230)	1.9877	None
Hmgb3	Exo1	0.7449	49.84	0.336	rgb(221,153,153)	1.9877	2,2
Hsf1	Cox7a2l	-0.7449	49.84	-3.4E-01	rgb(142,172,230)	1.9877	None
Irf1	Bcl2l14	0.7449	49.84	0.338	rgb(221,152,153)	1.9877	None
Irf1	Psme1	0.7449	49.84	0.348	rgb(221,151,151)	1.9877	None
Irf2	Stk38l	-0.7449	49.84	-3.4E-01	rgb(143,172,230)	1.9877	None
Irf4	Dhrs3	-0.7449	49.84	-3.4E-01	rgb(143,172,230)	1.9877	None
Irf4	Gbp7	-0.7449	49.84	-3.4E-01	rgb(144,173,230)	1.9877	None
Irf4	Tmem154	0.7449	49.84	0.337	rgb(221,153,153)	1.9877	None
Irf5	Rxra	0.7449	49.84	0.341	rgb(221,152,153)	1.9877	None
Irf7	Gbp4	0.7449	49.84	0.336	rgb(221,153,154)	1.9877	None
Irf7	Kcnq4	-0.7449	49.84	-3.4E-01	rgb(144,173,230)	1.9877	None
Irf8	Gypc	-0.7449	49.84	-3.4E-01	rgb(142,171,230)	1.9877	None
Irf8	Qrich1	-0.7449	49.84	-3.4E-01	rgb(143,172,230)	1.9877	None
Irf9	Slfn2	0.7449	49.84	0.344	rgb(221,151,152)	1.9877	None
Jdp2	Angptl6	0.7449	49.84	0.336	rgb(221,153,154)	1.9877	None
Jdp2	H2-Eb1	0.7449	49.84	0.341	rgb(221,152,153)	1.9877	None
Jun	Dok4	0.7449	49.84	0.412	rgb(222,138,139)	1.9877	None
Jun	Slc4a11	0.7449	49.84	0.337	rgb(221,153,153)	1.9877	None
Jun	Tsc22d3	0.7449	49.84	0.338	rgb(221,152,153)	1.9877	None
Junb	Ptpn1	0.7449	49.84	0.34	rgb(221,152,153)	1.9877	None
Kdm5b	Rgs19	-0.7449	49.84	-5.2E-01	rgb(104,148,237)	1.9877	2,2
Klf12	Itsn1	0.7449	49.84	0.343	rgb(221,151,152)	1.9877	None
Klf12	Slc6a6	0.7449	49.84	0.335	rgb(221,153,154)	1.9877	None
Klf2	Pgs1	-0.7449	49.84	-3.4E-01	rgb(143,172,230)	1.9877	None
Klf4	Stk4	0.7449	49.84	0.337	rgb(221,153,153)	1.9877	None
Klf8	Adamtsl5	0.7449	49.84	0.337	rgb(221,153,153)	1.9877	None
Klf8	Lgals1	0.7449	49.84	0.339	rgb(221,152,153)	1.9877	None
Klf8	Tmem205	0.7449	49.84	0.341	rgb(221,152,153)	1.9877	None
L3mbtl3	Gata3	0.7449	49.84	0.337	rgb(221,153,153)	1.9877	2,2
Lhx2	Mlf1	0.7449	49.84	0.34	rgb(221,152,153)	1.9877	2,2
Lyl1	Glis2	0.7449	49.84	0.365	rgb(221,147,148)	1.9877	2,2
Lyl1	Kdelc2	0.7449	49.84	0.42	rgb(222,137,138)	1.9877	None
Mafb	Impa2	-0.7449	49.84	-3.4E-01	rgb(143,172,230)	1.9877	None
Meis3	Icam2	0.7449	49.84	0.337	rgb(221,153,153)	1.9877	None
Meis3	Mtrf1	-0.7449	49.84	-3.4E-01	rgb(144,173,230)	1.9877	None
Msc	Cacnb2	0.7449	49.84	0.34	rgb(221,152,153)	1.9877	2,2
Msc	Gpr114	0.7449	49.84	0.347	rgb(221,151,151)	1.9877	2,2
Myb	Cmtm7	0.7449	49.84	0.342	rgb(221,152,152)	1.9877	None
Myc	Grk5	-0.7449	49.84	-3.4E-01	rgb(144,173,230)	1.9877	None
Myc	Rgs19	0.7449	49.84	0.335	rgb(221,153,154)	1.9877	None
Nfat5	Dcp2	0.7449	49.84	0.336	rgb(221,153,154)	1.9877	None
Nfat5	Hist1h1b	-0.7449	49.84	-3.4E-01	rgb(144,173,230)	1.9877	None
Nfatc2	Rap1gds1	0.7449	49.84	0.341	rgb(221,152,153)	1.9877	None
Nfe2l2	Nid1	-0.7449	49.84	-3.4E-01	rgb(143,172,230)	1.9877	None
Nfkb1	Capsl	-0.7449	49.84	-3.4E-01	rgb(143,172,230)	1.9877	None
Nkx1-2	Lingo1	0.7449	49.84	0.339	rgb(221,152,153)	1.9877	2,2
Npas2	Notch1	0.7449	49.84	0.345	rgb(221,151,152)	1.9877	2,2
Nr3c1	Fam46c	0.7449	49.84	0.335	rgb(221,153,154)	1.9877	None
Nr4a1	Bcl2a1d	0.7449	49.84	0.34	rgb(221,152,153)	1.9877	None
Nr4a2	Lrig3	-0.7449	49.84	-3.4E-01	rgb(143,172,230)	1.9877	2,2
Nr4a2	Pde1a	0.7449	49.84	0.343	rgb(221,151,152)	1.9877	None
Otx1	Pnkd	0.7449	49.84	0.338	rgb(221,152,153)	1.9877	None
Pknox1	Ppp1r3b	-0.7449	49.84	-3.4E-01	rgb(143,172,230)	1.9877	None
Plagl1	Slc16a6	0.7449	49.84	0.337	rgb(221,153,153)	1.9877	2,2
Pou2af1	Fzd4	-0.7449	49.84	-3.6E-01	rgb(138,169,231)	1.9877	2,2
Pou2f2	Map3k6	-0.7449	49.84	-3.4E-01	rgb(144,172,230)	1.9877	None
Pou2f2	Tet3	0.7449	49.84	0.335	rgb(221,153,154)	1.9877	None
Prdm1	Rora	-0.7449	49.84	-3.4E-01	rgb(144,173,230)	1.9877	None
Rarg	Ildr1	-0.7449	49.84	-3.4E-01	rgb(144,173,230)	1.9877	None
Relb	Ptrf	-0.7449	49.84	-3.4E-01	rgb(142,172,230)	1.9877	2,2
Rest	Stambp	-0.7449	49.84	-3.4E-01	rgb(143,172,230)	1.9877	2,2
Rfx3	Trib1	-0.7449	49.84	-3.4E-01	rgb(144,172,230)	1.9877	None
Rfx3	Trmt5	-0.7449	49.84	-4.4E-01	rgb(123,160,234)	1.9877	None
Rfx7	Akirin1	-0.7449	49.84	-3.4E-01	rgb(144,173,230)	1.9877	None
Rora	Gpr65	0.7449	49.84	0.341	rgb(221,152,153)	1.9877	2,2
Rorc	Gpr34	-0.7449	49.84	-3.4E-01	rgb(143,172,230)	1.9877	2,2
Rreb1	Klf3	0.7449	49.84	0.339	rgb(221,152,153)	1.9877	2,2
Runx1	Gimap7	-0.7449	49.84	-4.8E-01	rgb(113,154,235)	1.9877	None
Runx1	Vav3	-0.7449	49.84	-3.4E-01	rgb(142,172,230)	1.9877	None
Runx2	Obsl1	0.7449	49.84	0.337	rgb(221,153,153)	1.9877	2,2
Runx2	Rabgap1l	0.7449	49.84	0.34	rgb(221,152,153)	1.9877	None
Rxrb	Rprd1a	-0.7449	49.84	-5.2E-01	rgb(104,148,237)	1.9877	2,2
Scml4	Arid3a	-0.7449	49.84	-3.4E-01	rgb(143,172,230)	1.9877	2,2
Smad3	Cald1	-0.7449	49.84	-3.4E-01	rgb(143,172,230)	1.9877	None
Sox13	Traf6	-0.7449	49.84	-3.4E-01	rgb(143,172,230)	1.9877	None
Sox21	Klhl6	-0.7449	49.84	-3.4E-01	rgb(144,173,230)	1.9877	None
Sox21	Neurl3	-0.7449	49.84	-3.4E-01	rgb(143,172,230)	1.9877	2,2
Sox21	Piwil2	-0.7449	49.84	-3.4E-01	rgb(142,171,230)	1.9877	None
Sp2	Sav1	0.7449	49.84	0.338	rgb(221,152,153)	1.9877	None
Sp3	Rnf113a1	-0.7449	49.84	-3.4E-01	rgb(143,172,230)	1.9877	2,2
Sp4	Acad9	-0.7449	49.84	-3.4E-01	rgb(143,172,230)	1.9877	2,2
Sp4	Cxcr4	0.7449	49.84	0.336	rgb(221,153,153)	1.9877	None
Sp4	Rhoc	0.7449	49.84	0.341	rgb(221,152,153)	1.9877	None
Sp9	Asb16	0.7449	49.84	0.339	rgb(221,152,153)	1.9877	None
Spib	Olfml2a	0.7449	49.84	0.336	rgb(221,153,154)	1.9877	None
Stat1	Acox1	0.7449	49.84	0.339	rgb(221,152,153)	1.9877	None
Stat1	Entpd1	0.7449	49.84	0.341	rgb(221,152,152)	1.9877	None
Stat2	Rpp14	-0.7449	49.84	-3.4E-01	rgb(144,172,230)	1.9877	None
Stat4	Arhgef3	0.7449	49.84	0.345	rgb(221,151,152)	1.9877	None
Stat4	Kifc3	-0.7449	49.84	-3.4E-01	rgb(144,173,230)	1.9877	2,2
Stat4	Sla	0.7449	49.84	0.339	rgb(221,152,153)	1.9877	None
Tcf12	Ostf1	-0.7449	49.84	-3.4E-01	rgb(143,172,230)	1.9877	None
Tcf12	Tgm1	-0.7449	49.84	-3.4E-01	rgb(143,172,230)	1.9877	None
Tcf7l2	P2ry2	0.7449	49.84	0.344	rgb(221,151,152)	1.9877	2,2
Tead1	Emb	-0.7449	49.84	-3.4E-01	rgb(144,172,230)	1.9877	None
Tead1	Mgst3	0.7449	49.84	0.341	rgb(221,152,152)	1.9877	None
Tead1	Ski	0.7449	49.84	0.337	rgb(221,153,153)	1.9877	None
Tigd2	Sult2b1	-0.7449	49.84	-3.6E-01	rgb(139,169,231)	1.9877	2,2
Trp53	Cercam	-0.7449	49.84	-3.4E-01	rgb(144,173,230)	1.9877	None
Twist1	Ms4a6c	0.7449	49.84	0.342	rgb(221,152,152)	1.9877	2,2
Ybx2	Sesn3	-0.7449	49.84	-3.4E-01	rgb(143,172,230)	1.9877	None
Zbtb1	Anxa11	-0.7449	49.84	-3.4E-01	rgb(143,172,230)	1.9877	2,2
Zbtb33	1190002N15Rik	0.7449	49.84	0.337	rgb(221,153,153)	1.9877	None
Zbtb48	Sez6l2	0.7449	49.84	0.342	rgb(221,152,152)	1.9877	2,2
Zbtb5	Irf5	0.7449	49.84	0.359	rgb(221,148,149)	1.9877	2,2
Zbtb7a	Arhgap33	0.7449	49.84	0.34	rgb(221,152,153)	1.9877	None
Zbtb7a	Car2	-0.7449	49.84	-3.7E-01	rgb(136,168,231)	1.9877	None
Zbtb7a	Nlgn2	0.7449	49.84	0.343	rgb(221,151,152)	1.9877	None
Zbtb7a	Zfp668	0.7449	49.84	0.344	rgb(221,151,152)	1.9877	None
Zfp148	Ankrd13c	0.7449	49.84	0.342	rgb(221,152,152)	1.9877	None
Zfp148	Cd28	0.7449	49.84	0.337	rgb(221,153,153)	1.9877	None
Zfp148	Erc1	0.7449	49.84	0.338	rgb(221,152,153)	1.9877	None
Zfp263	Cep170	-0.7449	49.84	-3.4E-01	rgb(143,172,230)	1.9877	None
Zfp263	Drosha	-0.7449	49.84	-3.4E-01	rgb(143,172,230)	1.9877	None
Zfp263	Eps8l1	0.7449	49.84	0.339	rgb(221,152,153)	1.9877	2,2
Zfp263	Map3k14	0.7449	49.84	0.339	rgb(221,152,153)	1.9877	None
Zfp263	Ntrk3	0.7449	49.84	0.344	rgb(221,151,152)	1.9877	None
Zfp263	Vegfa	-0.7449	49.84	-3.4E-01	rgb(144,173,230)	1.9877	None
Zfp266	Bcl3	-0.7449	49.84	-3.4E-01	rgb(143,172,230)	1.9877	2,2
Zfp281	Calhm2	-0.7449	49.84	-3.4E-01	rgb(143,172,230)	1.9877	None
Zfp281	Eno3	0.7449	49.84	0.335	rgb(221,153,154)	1.9877	None
Zfp281	Mafb	0.7449	49.84	0.363	rgb(221,148,148)	1.9877	None
Zfp414	Mgst3	0.7449	49.84	0.342	rgb(221,152,152)	1.9877	2,2
Zfp420	C030037D09Rik	-0.7449	49.84	-5.0E-01	rgb(109,151,236)	1.9877	2,2
Zfp467	Lmtk3	0.7449	49.84	0.341	rgb(221,152,153)	1.9877	2,2
Zfp523	Itih5	0.7449	49.84	0.404	rgb(221,140,141)	1.9877	2,2
Zfp651	Srpk1	-0.7449	49.84	-3.4E-01	rgb(143,172,230)	1.9877	2,2
Zfp777	Sh2b1	0.7449	49.84	0.336	rgb(221,153,154)	1.9877	2,2
Zfp956	4930528A17Rik	0.7449	49.84	0.336	rgb(221,153,153)	1.9877	2,2
Zfx	Twsg1	0.7449	49.84	0.338	rgb(221,153,153)	1.9877	None
Zic5	Zic2	0.7449	49.84	0.356	rgb(221,149,150)	1.9877	2,2
Zscan10	Hmgcl	0.7449	49.84	0.343	rgb(221,152,152)	1.9877	None
Akna	Psd2	0.74112	49.81	0.355	rgb(221,149,150)	1.9871	2,2
Ar	Nr1d1	-0.74112	49.81	-3.1E-01	rgb(149,176,229)	1.9871	2,2
Arid3a	Tox	-0.74112	49.81	-3.1E-01	rgb(149,175,229)	1.9871	2,2
Arnt2	6530402F18Rik	0.74112	49.81	0.315	rgb(220,157,158)	1.9871	2,2
Ascl2	Cntnap1	0.74112	49.83	0.332	rgb(221,154,154)	1.9875	2,2
Atf3	Serpinb6b	0.74112	49.81	0.31	rgb(220,158,158)	1.9871	2,2
Atf5	Zfp467	0.74112	49.81	0.31	rgb(220,158,158)	1.9871	2,2
Atmin	Chst15	0.74112	49.81	0.321	rgb(221,156,156)	1.9871	2,2
