TF	Target	SignedQuantile	AveStability	AvePCorr	stroke	stroke-width	stroke-dasharray
Klf6	Neu3	0.99685	49.945	0.444	rgb(222,132,133)	1.9942	2,2
Zfp532	F9	0.99683	49.935	0.435	rgb(222,134,135)	1.994	2,2
Zfp808	Pla2g4c	0.99681	49.935	0.432	rgb(222,135,135)	1.994	2,2
Six5	Max	0.9968	49.945	0.042	rgb(217,209,209)	1.9942	None
Sox5	Zfp280b	-0.99676	50.005	-1.6E-01	rgb(183,196,223)	1.9954	None
Zfp629	Dnmt3b	0.99676	49.97	0.471	rgb(222,127,128)	1.9947	2,2
Rest	Dazap2	-0.99674	49.95	-4.5E-01	rgb(119,157,234)	1.9943	None
Srebf1	C2cd2l	0.99672	49.995	0.497	rgb(222,122,123)	1.9952	None
Ankzf1	Rgs11	0.9967	49.94	0.442	rgb(222,133,134)	1.9941	2,2
Sp6	Lrp4	0.99668	49.94	0.435	rgb(222,134,135)	1.9941	2,2
Pou5f2	Arg2	0.99666	49.935	0.438	rgb(222,133,134)	1.994	2,2
Terf1	Rftn1	-0.99665	49.96	-4.6E-01	rgb(117,156,235)	1.9945	2,2
Zfp429	Kcnf1	-0.99663	49.93	-4.3E-01	rgb(124,160,233)	1.9939	2,2
L3mbtl3	Vwa1	-0.99659	49.93	-4.3E-01	rgb(124,161,233)	1.9939	2,2
Ncoa2	Ripk3	-0.99659	49.93	-4.3E-01	rgb(123,160,233)	1.9939	2,2
Thap3	Rps14	0.99657	49.93	0.432	rgb(222,134,135)	1.9939	2,2
Trps1	Sirpa	-0.99653	49.935	-4.4E-01	rgb(122,159,234)	1.994	2,2
Zfp960	Rnf150	-0.99653	49.935	-4.4E-01	rgb(122,159,234)	1.994	2,2
Gata3	D430041D05Rik	0.9965	49.935	0.436	rgb(222,134,135)	1.994	None
Mxd4	Ypel3	0.9965	49.935	0.439	rgb(222,133,134)	1.994	2,2
Fbxl19	Ptprs	0.99644	49.93	0.43	rgb(222,135,136)	1.9939	2,2
Jazf1	4930506M07Rik	0.99644	49.93	0.431	rgb(222,135,135)	1.9939	2,2
Zfp831	Inpp4a	0.99644	49.93	0.428	rgb(222,135,136)	1.9939	2,2
Ddit3	Slc19a2	-0.9964	49.945	-8.3E-02	rgb(199,206,220)	1.9942	None
Zfp385a	Lrrc28	0.9964	49.945	0.447	rgb(222,132,132)	1.9942	2,2
Zfp516	B4galnt4	0.99639	49.935	0.437	rgb(222,134,134)	1.994	2,2
Zfp385a	Psrc1	0.99637	50	0.499	rgb(222,122,123)	1.9953	2,2
Zfp35	Dusp12	0.99635	49.93	0.431	rgb(222,135,136)	1.9939	2,2
Zfp120	Asnsd1	0.99631	49.94	0.441	rgb(222,133,134)	1.9941	2,2
Zfp516	Ica1l	0.99631	49.94	0.439	rgb(222,133,134)	1.9941	2,2
Esrra	Tbc1d4	-0.99627	49.93	-5.9E-02	rgb(204,209,219)	1.9939	None
Plscr1	Plod2	0.99627	49.93	0.426	rgb(222,136,136)	1.9939	2,2
Ncoa2	Phlpp1	0.99625	49.97	0.472	rgb(222,127,128)	1.9947	2,2
Cux1	Rab39b	-0.9962	49.93	-4.3E-01	rgb(124,160,233)	1.9939	2,2
Irf7	Xaf1	0.9962	50.065	0.564	rgb(223,109,110)	1.9966	None
Nfkb1	Elovl7	-0.9962	49.93	-4.3E-01	rgb(123,160,233)	1.9939	None
Sp4	Dhrs4	-0.99618	49.935	-7.4E-02	rgb(201,207,220)	1.994	None
E2f4	Txndc17	-0.99616	49.965	-4.6E-01	rgb(116,156,235)	1.9946	None
Trp53	Tnfrsf10b	0.99614	49.925	0.424	rgb(222,136,137)	1.9938	None
Zeb2	Aff3	-0.99611	49.945	-4.5E-01	rgb(120,158,234)	1.9942	2,2
Zfp808	Rfwd3	0.99611	49.945	0.446	rgb(222,132,133)	1.9942	2,2
Klf6	Clic4	0.99607	49.945	0.445	rgb(222,132,133)	1.9942	2,2
Sp6	Ell2	0.99607	49.945	0.446	rgb(222,132,133)	1.9942	None
Atmin	Il15ra	0.99603	49.925	0.425	rgb(222,136,137)	1.9938	2,2
Zfp948	Mtx3	0.99603	49.925	0.422	rgb(222,136,137)	1.9938	2,2
Zfp365	4632434I11Rik	0.99601	49.92	0.423	rgb(222,136,137)	1.9937	2,2
Zfp28	Trim3	0.99598	49.925	0.421	rgb(222,136,137)	1.9938	2,2
Zfp608	Serpinb1a	0.99598	49.925	0.422	rgb(222,136,137)	1.9938	2,2
Zbtb46	Rhod	0.99596	50.015	0.516	rgb(223,118,119)	1.9956	2,2
Zfp429	Plod3	-0.99592	49.93	-4.3E-01	rgb(123,160,233)	1.9939	2,2
Zfp750	1700007K13Rik	0.99592	49.93	0.433	rgb(222,134,135)	1.9939	2,2
Lyl1	Gpnmb	0.9959	49.92	0.419	rgb(222,137,138)	1.9937	2,2
Gm14420	Cdkn2d	0.99586	49.99	0.489	rgb(222,124,125)	1.9951	2,2
Zfp385a	Bbc3	0.99586	49.99	0.492	rgb(222,123,124)	1.9951	2,2
Zfp629	Hemgn	0.99584	49.95	0.449	rgb(222,131,132)	1.9943	2,2
Mxi1	Urb1	-0.99581	49.975	-1.4E-01	rgb(187,199,222)	1.9948	None
Zfp266	Rab8b	0.99581	49.975	0.476	rgb(222,126,127)	1.9948	2,2
Plscr1	Ubash3a	-0.99579	49.935	-4.4E-01	rgb(122,159,234)	1.994	2,2
Dpf1	Porcn	0.99577	49.945	0.443	rgb(222,132,133)	1.9942	2,2
Phf20	Fyco1	0.99571	49.915	0.416	rgb(222,138,138)	1.9936	2,2
Zfp148	Erap1	0.99571	49.915	0.013	rgb(217,214,215)	1.9936	None
Zfp956	Nfyb	-0.99571	49.915	-4.2E-01	rgb(127,162,233)	1.9936	2,2
Nacc2	Stmn4	0.9957	49.92	0.419	rgb(222,137,138)	1.9937	2,2
Rbpj	Lama5	0.99564	49.915	0.024	rgb(217,212,212)	1.9936	2,2
Zfp651	Scarf2	0.99564	49.915	0.417	rgb(222,137,138)	1.9936	2,2
Zfp960	Masp2	0.99564	49.915	0.416	rgb(222,138,138)	1.9936	2,2
Foxp3	Nt5e	0.99562	49.93	0.427	rgb(222,135,136)	1.9939	None
Rorc	Ccdc63	0.9956	50.015	0.518	rgb(223,118,119)	1.9956	None
