TF	Target	SignedQuantile	AveStability	AvePCorr	stroke	stroke-width	stroke-dasharray
Ankzf1	3110057O12Rik	0.99693	49.9525	0.452	rgb(222,131,132)	1.9948	2,2
Tigd2	Gprin3	0.99691	49.9425	0.445	rgb(222,132,133)	1.9946	2,2
St18	Cd180	0.99689	49.925	0.425	rgb(222,136,137)	1.9943	2,2
Prdm8	Fam178b	0.99687	49.92	0.422	rgb(222,136,137)	1.9942	2,2
Mxd1	Smyd5	-0.99685	49.9575	-4.6E-01	rgb(118,157,234)	1.9949	2,2
Mxd4	Adck3	0.99683	49.9275	0.43	rgb(222,135,136)	1.9943	2,2
Zbtb46	Tmem120b	0.99681	49.9125	0.412	rgb(222,138,139)	1.994	2,2
Trps1	Sirpa	-0.9968	49.9575	-4.6E-01	rgb(118,157,234)	1.9949	2,2
Zfp367	Oxct1	0.99678	49.91	0.413	rgb(222,138,139)	1.994	2,2
Thap3	Polr3b	-0.99676	49.915	-4.2E-01	rgb(126,162,233)	1.9941	2,2
Zfp513	Vdac1	-0.99674	49.9575	-4.6E-01	rgb(117,156,234)	1.9949	2,2
Zfp831	Lypd6b	0.99672	49.9225	0.421	rgb(222,137,137)	1.9942	2,2
Ncoa2	Tcf12	0.9967	49.92	0.419	rgb(222,137,138)	1.9942	2,2
Zfp629	Fgfr1	0.99668	49.9275	0.427	rgb(222,135,136)	1.9943	2,2
Mbnl2	Jup	0.99666	49.9225	0.424	rgb(222,136,137)	1.9942	2,2
Zfp960	Dock1	0.99665	49.9225	0.424	rgb(222,136,137)	1.9942	2,2
Plscr1	Bcl2l2	0.99663	49.9275	0.424	rgb(222,136,137)	1.9943	2,2
Foxp2	Nebl	0.99661	49.93	0.431	rgb(222,135,136)	1.9944	2,2
Hmgb3	Pla2g4f	0.99659	49.9375	0.437	rgb(222,133,134)	1.9945	2,2
Zfp365	Cnn2	-0.99657	49.9175	-4.2E-01	rgb(127,162,233)	1.9941	2,2
Tet2	Gprin3	0.99655	49.935	0.434	rgb(222,134,135)	1.9945	2,2
Zbtb17	Cisd3	-0.99653	49.9125	-4.1E-01	rgb(127,162,233)	1.994	2,2
