Regulator	Target	Weight	stroke
Nfe2l2	Angptl6	-1.7115	rgb(124,160,233)
Hif1a	Angptl6	-1.8173	rgb(118,157,234)
Batf	Ank	-1.656	rgb(127,162,233)
Maf	Ankib1	-1.1008	rgb(157,181,227)
Batf	Ankle1	-1.7218	rgb(123,160,233)
Maf	Ankrd12	-1.2131	rgb(151,177,229)
Fosl2	Ankrd12	-1.7445	rgb(122,159,234)
Fosl2	Ankrd13b	-1.5766	rgb(131,165,232)
Nfe2l2	Ankrd37	-1.3693	rgb(143,172,230)
Hif1a	Ankrd37	1.896	rgb(222,126,127)
Irf4	Ankrd39	-1.1101	rgb(157,180,228)
Maf	Ankrd44	-1.912	rgb(113,154,235)
Maf	Ankrd46	-1.8329	rgb(117,156,234)
Rorc	Ankrd46	-1.388	rgb(142,171,230)
Hif1a	Ankrd46	1.7239	rgb(222,135,135)
Hif1a	Ankzf1	1.8821	rgb(222,127,128)
Etv6	Ano8	-1.8554	rgb(116,156,235)
Irf4	Anp32a	1.9564	rgb(222,123,124)
Stat3	Anp32a	1.8479	rgb(222,129,130)
Hif1a	Anp32a	1.9084	rgb(222,126,127)
Irf4	Anp32e	1.6422	rgb(222,139,139)
Batf	Antxr2	-1.9513	rgb(111,153,236)
Irf4	Antxr2	-1.9516	rgb(111,153,236)
Fosl2	Antxr2	-1.8765	rgb(115,155,235)
Batf	Anxa11	1.8248	rgb(222,130,131)
Irf4	Anxa11	1.8599	rgb(222,128,129)
Batf	Anxa2	1.9474	rgb(222,124,125)
Irf4	Anxa2	1.9225	rgb(222,125,126)
Maf	Anxa2	-1.9104	rgb(113,154,235)
Stat3	Anxa2	1.3854	rgb(221,151,151)
Rorc	Anxa2	-1.6207	rgb(129,163,232)
Hif1a	Anxa2	1.7967	rgb(222,131,132)
Irf4	Anxa3	1.2217	rgb(220,159,159)
Irf4	Anxa4	1.8992	rgb(222,126,127)
Rorc	Anxa4	-1.5518	rgb(133,166,232)
Batf	Anxa5	1.6611	rgb(222,138,138)
Maf	Anxa5	-1.0862	rgb(158,181,227)
Stat3	Anxa5	1.1913	rgb(220,160,161)
Batf	Anxa6	1.8147	rgb(222,130,131)
Maf	Anxa6	-1.8647	rgb(116,155,235)
Hif1a	Anxa6	1.4005	rgb(221,150,151)
