TF	Target	SignedQuantile	AveStability	AvePCorr	stroke	stroke-width	stroke-dasharray
Pou2f2	Cd79b	0.071753	30.365	0.114	rgb(218,195,195)	1.5983	None
Thrb	Sox4	0.071753	30.365	0.115	rgb(218,195,195)	1.5983	None
Ar	Hspa2	0.071697	30.48	0.229	rgb(220,173,174)	1.6006	None
Ar	Tnk2	-0.071697	30.48	-2.3E-01	rgb(167,187,226)	1.6006	None
Foxp1	Plekho2	-0.071697	30.48	-2.3E-01	rgb(167,187,226)	1.6006	None
Aebp2	Etv6	0.071642	30.86	0.111	rgb(218,196,196)	1.6082	2,2
Irf7	Enpp1	0.071642	30.86	0.111	rgb(218,196,196)	1.6082	None
Klf11	Ston1	0.071642	30.86	0.112	rgb(218,196,196)	1.6082	None
Tet2	Inpp4b	0.071623	27.355	0.103	rgb(218,197,198)	1.538	2,2
Zeb1	Hbs1l	-0.071604	28.77	-2.2E-02	rgb(212,214,218)	1.5663	None
Tcf12	S1pr2	-0.071586	29.3	-4.8E-02	rgb(207,211,219)	1.5769	None
Sox13	Stxbp6	-0.071567	27.855	-1.1E-01	rgb(194,203,221)	1.548	None
Bach1	Epdr1	-0.07153	29.295	-4.7E-02	rgb(207,211,219)	1.5768	None
Zfp277	Eci1	0.07153	29.295	0.045	rgb(217,208,209)	1.5768	2,2
Gm13242	Tlr12	0.071511	26.82	0.069	rgb(218,204,204)	1.5272	2,2
Esrra	Cst3	0.071492	28.76	0.009	rgb(217,215,215)	1.5661	None
Lef1	Dpy19l3	-0.071455	29.875	-1.3E-01	rgb(190,200,222)	1.5884	None
Zfp280b	H1f0	0.071455	29.875	0.123	rgb(218,193,194)	1.5884	2,2
Hmga2	Lin28b	0.071418	26.33	0.08	rgb(218,202,202)	1.5174	None
Zfp617	Qrich2	0.071418	26.33	0.08	rgb(218,202,202)	1.5174	2,2
Bhlhe40	Bok	0.070579	25	0	rgb(217,217,217)	1.4908	None
Casz1	Lrch1	0.070579	25	0	rgb(217,217,217)	1.4908	2,2
Ebf1	Trim66	0.070579	25	0	rgb(217,217,217)	1.4908	None
