TF	Target	SignedQuantile	AveStability	AvePCorr	stroke	stroke-width	stroke-dasharray
Zfp367	Pknox1	-0.99821	50.18	-6.8E-01	rgb( 70,127,243)	1.9945	2,2
Zfp385a	Zmat3	0.99821	50.18	0.684	rgb(225, 86, 88)	1.9945	2,2
Zfp429	Megf8	-0.99821	50.18	-6.8E-01	rgb( 69,127,243)	1.9945	2,2
Dpf1	Gipr	0.99812	50.17	0.67	rgb(224, 89, 90)	1.9943	2,2
Kdm5b	Rasgef1b	-0.99812	50.17	-6.7E-01	rgb( 72,129,242)	1.9943	2,2
Twist1	Fam160a1	0.99812	50.17	0.668	rgb(224, 89, 91)	1.9943	2,2
Zfp385a	Zfp365	0.99812	50.17	0.666	rgb(224, 90, 91)	1.9943	2,2
Zfx	S100a13	-0.99812	50.17	-6.7E-01	rgb( 72,129,242)	1.9943	None
Crem	Agpat9	0.99789	50.21	0.705	rgb(225, 82, 84)	1.9951	None
Egr1	Zfp346	0.99789	50.21	0.709	rgb(225, 82, 83)	1.9951	None
Ets1	Ldlrap1	0.99789	50.21	0.709	rgb(225, 82, 83)	1.9951	None
Irf7	Gbp9	0.99789	50.21	0.714	rgb(225, 81, 82)	1.9951	None
Maf	Aqp3	0.99789	50.21	0.713	rgb(225, 81, 82)	1.9951	None
Nfatc2	Atp2b4	0.99789	50.21	0.706	rgb(225, 82, 84)	1.9951	None
Sp2	E2f7	0.99789	50.21	0.708	rgb(225, 82, 83)	1.9951	None
Sp4	Bcor	-0.99789	50.21	-7.1E-01	rgb( 63,124,244)	1.9951	None
Sp4	Kbtbd11	0.99789	50.21	0.713	rgb(225, 81, 82)	1.9951	None
Tbx21	Ly6a	0.99789	50.21	0.707	rgb(225, 82, 83)	1.9951	2,2
Tcf3	Pdcd1lg2	-0.99789	50.21	-7.1E-01	rgb( 64,124,244)	1.9951	None
Tead1	Nupr1	0.99789	50.21	0.712	rgb(225, 81, 82)	1.9951	None
Arid3a	Itm2a	-0.99747	50.2	-7.0E-01	rgb( 64,124,244)	1.9949	None
E2f1	Tyms	0.99747	50.16	0.657	rgb(224, 91, 93)	1.9941	None
Eea1	Ctsw	-0.99747	50.2	-7.0E-01	rgb( 65,124,244)	1.9949	2,2
Egr2	Runx1	0.99747	50.2	0.704	rgb(225, 83, 84)	1.9949	None
Elf1	Il2ra	-0.99747	50.2	-7.0E-01	rgb( 66,125,243)	1.9949	None
Ets1	Rasgrp2	0.99747	50.2	0.704	rgb(225, 82, 84)	1.9949	None
Gata3	Epas1	0.99747	50.2	0.699	rgb(225, 84, 85)	1.9949	2,2
Gm14420	Gm2011	0.99747	50.16	0.664	rgb(224, 90, 92)	1.9941	2,2
Hif1a	Ero1l	0.99747	50.16	0.664	rgb(224, 90, 91)	1.9941	None
Irf4	Atp8b4	-0.99747	50.2	-7.0E-01	rgb( 65,125,244)	1.9949	None
Irf7	Ccl5	0.99747	50.2	0.695	rgb(225, 84, 86)	1.9949	None
Klf4	Icam2	-0.99747	50.16	-6.6E-01	rgb( 74,130,242)	1.9941	None
Lin54	Rpp14	-0.99747	50.16	-6.6E-01	rgb( 74,130,242)	1.9941	2,2
Runx2	Basp1	0.99747	50.16	0.655	rgb(224, 92, 93)	1.9941	2,2
Smad4	Prex1	0.99747	50.2	0.704	rgb(225, 83, 84)	1.9949	None
Sp4	Fbxw2	0.99747	50.2	0.699	rgb(225, 84, 85)	1.9949	None
Srf	Fam111a	0.99747	50.16	0.662	rgb(224, 91, 92)	1.9941	None
Stat4	Cyp39a1	0.99747	50.2	0.695	rgb(225, 84, 86)	1.9949	None
Tbx21	Gbp2	0.99747	50.16	0.664	rgb(224, 90, 92)	1.9941	2,2
Zbtb4	Ept1	-0.99747	50.16	-6.6E-01	rgb( 75,130,242)	1.9941	2,2
Zfp280b	Ap1s3	0.99747	50.16	0.659	rgb(224, 91, 92)	1.9941	2,2
Zfp385a	Ptp4a3	0.99747	50.16	0.655	rgb(224, 92, 93)	1.9941	2,2
Zfp429	H60c	-0.99747	50.16	-6.6E-01	rgb( 73,129,242)	1.9941	2,2
Elf1	Cd226	0.99734	50.19	0.692	rgb(225, 85, 86)	1.9947	None
Elk3	Capg	0.99734	50.19	0.692	rgb(225, 85, 86)	1.9947	2,2
Irf1	Gbp6	0.99734	50.19	0.691	rgb(225, 85, 86)	1.9947	None
Sox5	Serpinf1	0.99734	50.19	0.693	rgb(225, 85, 86)	1.9947	None
Sp2	Auh	-0.99734	50.19	-6.9E-01	rgb( 66,125,243)	1.9947	None
Tead1	Zfp608	0.99734	50.19	0.69	rgb(225, 85, 87)	1.9947	None
Zfp385a	Eng	0.99734	50.19	0.686	rgb(225, 86, 87)	1.9947	2,2
C030039L03Rik	Agrp	0.99707	50.15	0.645	rgb(224, 94, 95)	1.9939	2,2
Foxa1	Ergic1	-0.99707	50.15	-6.5E-01	rgb( 76,131,242)	1.9939	None
Gabpa	A430005L14Rik	0.99707	50.15	0.654	rgb(224, 92, 93)	1.9939	None
Hif1a	Pla2g12a	0.99707	50.15	0.651	rgb(224, 93, 94)	1.9939	None
Klf4	H2-Eb1	0.99707	50.15	0.649	rgb(224, 93, 94)	1.9939	None
Nfkb1	Arhgap22	0.99707	50.15	0.646	rgb(224, 94, 95)	1.9939	None
Nr4a3	Tnfsf11	0.99707	50.15	0.647	rgb(224, 93, 95)	1.9939	2,2
Pou2af1	Il10ra	-0.99707	50.15	-6.5E-01	rgb( 75,131,242)	1.9939	2,2
Sox4	Fyn	0.99707	50.15	0.648	rgb(224, 93, 95)	1.9939	None
Trp53	Calhm2	0.99707	50.15	0.645	rgb(224, 94, 95)	1.9939	None
Trps1	Tspan2	0.99707	50.15	0.648	rgb(224, 93, 95)	1.9939	2,2
Whsc1	Slc4a8	0.99707	50.15	0.65	rgb(224, 93, 94)	1.9939	2,2
Zfp280b	Zfp467	0.99707	50.15	0.654	rgb(224, 92, 93)	1.9939	2,2
Zfp870	Tbccd1	0.99707	50.15	0.654	rgb(224, 92, 93)	1.9939	2,2
Cebpg	Psph	0.99683	50.18	0.678	rgb(224, 87, 89)	1.9945	2,2
Egr2	Maff	0.99683	50.18	0.685	rgb(225, 86, 88)	1.9945	None
Ets1	Abcg1	0.99683	50.18	0.683	rgb(225, 87, 88)	1.9945	None
Mxi1	Cxcr4	0.99683	50.18	0.676	rgb(224, 88, 89)	1.9945	None
Mybl1	Dock3	0.99683	50.18	0.678	rgb(224, 87, 89)	1.9945	None
Nr1h2	Nudt4	-0.99683	50.18	-6.8E-01	rgb( 68,127,243)	1.9945	None
Nr1h2	Sgsm2	0.99683	50.18	0.676	rgb(224, 88, 89)	1.9945	None
Pou2f2	Egr2	-0.99683	50.18	-6.8E-01	rgb( 69,127,243)	1.9945	None
Rora	Tfpi	-0.99683	50.18	-6.8E-01	rgb( 68,127,243)	1.9945	None
Rxra	Ptger4	0.99683	50.18	0.68	rgb(224, 87, 89)	1.9945	None
Sox5	Rnh1	0.99683	50.18	0.684	rgb(225, 86, 88)	1.9945	None
Tead1	Ikzf4	0.99683	50.18	0.676	rgb(224, 88, 89)	1.9945	None
Zfp385a	Abhd4	0.99683	50.18	0.682	rgb(225, 87, 88)	1.9945	2,2
Epas1	Agl	0.99663	50.14	0.644	rgb(224, 94, 95)	1.9937	None
Esr1	Rps6ka4	0.99663	50.14	0.64	rgb(224, 95, 96)	1.9937	None
Hic1	Pknox1	0.99663	50.14	0.642	rgb(224, 94, 96)	1.9937	None
Hif1a	Slc2a3	0.99663	50.14	0.642	rgb(224, 94, 96)	1.9937	None
Myc	Bend3	0.99663	50.14	0.636	rgb(224, 96, 97)	1.9937	None
Otx1	Ndufv3	0.99663	50.14	0.642	rgb(224, 94, 96)	1.9937	None
Smad4	Stx1a	0.99663	50.14	0.638	rgb(224, 95, 96)	1.9937	None
Sp110	Bcl2a1b	0.99663	50.14	0.644	rgb(224, 94, 95)	1.9937	2,2
Trp53	Ptp4a3	0.99663	50.14	0.644	rgb(224, 94, 95)	1.9937	None
Zfp277	Fam49b	0.99663	50.14	0.638	rgb(224, 95, 96)	1.9937	2,2
Zfp367	Rpa2	0.99663	50.14	0.641	rgb(224, 95, 96)	1.9937	2,2
