TF	Target	SignedQuantile	Stability	pCorr	stroke	stroke-width	stroke-dasharray
Rorc	Lingo4	0.99435	0.99	0.602	rgb(224,102,103)	1.98	2,2
Rreb1	Tacc2	0.99435	0.99	0.373	rgb(221,146,146)	1.98	None
Runx1	Grap	-0.99435	0.99	-3.3E-01	rgb(146,174,229)	1.98	None
Runx2	Bcl2a1d	0.99435	0.99	0.325	rgb(221,155,156)	1.98	None
Runx2	Cd44	0.99435	0.99	0.25	rgb(220,169,170)	1.98	None
Runx2	Galnt3	0.99435	0.99	0.25	rgb(220,169,170)	1.98	None
Runx2	Gnptab	-0.99435	0.99	-7.6E-02	rgb(200,207,220)	1.98	None
Runx2	Gzmb	0.99435	0.99	0.262	rgb(220,167,167)	1.98	None
Rxra	Gata3	0.99435	0.99	0.14	rgb(219,190,191)	1.98	None
Rxra	Slamf6	0.99435	0.99	0.469	rgb(222,127,128)	1.98	None
Rxra	Tmc6	0.99435	0.99	0.077	rgb(218,202,202)	1.98	None
Sox4	Parp8	0.99435	0.99	0.059	rgb(218,206,206)	1.98	None
Sp110	Bcl2a1b	0.99435	0.99	0.547	rgb(223,112,114)	1.98	2,2
Sp110	Cdkn2d	0.99435	0.99	0.537	rgb(223,114,116)	1.98	2,2
Srebf1	Slc7a1	0.99435	0.99	0.178	rgb(219,183,183)	1.98	None
Stat1	Dtx3l	0.99435	0.99	0.369	rgb(221,147,147)	1.98	None
Stat1	Erap1	-0.99435	0.99	-1.0E-01	rgb(195,204,221)	1.98	None
Stat1	Fas	0.99435	0.99	0.171	rgb(219,184,185)	1.98	None
Stat1	Gbp2	0.99435	0.99	0.032	rgb(217,211,211)	1.98	None
Stat1	Gbp4	0.99435	0.99	0.194	rgb(219,180,180)	1.98	None
Stat1	Gbp5	0.99435	0.99	0.002	rgb(217,217,217)	1.98	None
Stat1	Gbp6	0.99435	0.99	0.374	rgb(221,146,146)	1.98	2,2
Stat1	Gimap4	0.99435	0.99	0.062	rgb(218,205,205)	1.98	None
Stat1	Icam1	0.99435	0.99	0.05	rgb(218,207,207)	1.98	None
Stat1	Igtp	0.99435	0.99	0.149	rgb(219,189,189)	1.98	2,2
Stat1	Lgals3bp	0.99435	0.99	0.122	rgb(218,194,194)	1.98	None
Stat1	Nlrc5	0.99435	0.99	0.067	rgb(218,204,204)	1.98	None
Stat1	Stat2	-0.99435	0.99	-1.6E-01	rgb(182,196,223)	1.98	None
Stat1	Tbkbp1	-0.99435	0.99	-2.5E-01	rgb(163,184,226)	1.98	None
Stat1	Tbx21	0.99435	0.99	0.229	rgb(220,173,174)	1.98	2,2
Stat1	Tgtp2	0.99435	0.99	0.136	rgb(218,191,191)	1.98	None
Stat1	Zbp1	0.99435	0.99	0.188	rgb(219,181,182)	1.98	None
Stat2	Dtx3l	0.99435	0.99	0.125	rgb(218,193,193)	1.98	None
Stat2	Mx2	0.99435	0.99	0.079	rgb(218,202,202)	1.98	None
Stat2	Xaf1	-0.99435	0.99	-2.2E-01	rgb(168,187,226)	1.98	None
Stat3	Fosl2	0.99435	0.99	0.254	rgb(220,169,169)	1.98	None
Stat3	Jak3	0.99435	0.99	0.355	rgb(221,149,150)	1.98	None
Stat3	Socs3	0.99435	0.99	0.202	rgb(219,178,179)	1.98	None
Stat3	Unc13a	0.99435	0.99	0.239	rgb(220,171,172)	1.98	None
Tbx21	Gbp2	0.99435	0.99	0.082	rgb(218,201,201)	1.98	2,2
Tbx21	Gimap4	0.99435	0.99	0.317	rgb(220,157,157)	1.98	2,2
Tbx21	Igtp	0.99435	0.99	0.185	rgb(219,182,182)	1.98	2,2
Tbx21	Ly6a	0.99435	0.99	0.036	rgb(217,210,210)	1.98	2,2
Tbx21	Nlrc5	0.99435	0.99	0.061	rgb(218,205,206)	1.98	2,2
Tbx21	Socs3	-0.99435	0.99	-1.8E-01	rgb(178,193,224)	1.98	None
Tbx21	Tbkbp1	0.99435	0.99	0.636	rgb(224, 96, 97)	1.98	2,2
Tbx21	Tgtp2	0.99435	0.99	0.038	rgb(217,210,210)	1.98	2,2
Tead1	Kcna3	-0.99435	0.99	-1.3E-02	rgb(214,215,218)	1.98	None
Tead1	Socs2	0.99435	0.99	0.468	rgb(222,128,129)	1.98	2,2
Tead1	Srgn	0.99435	0.99	0.016	rgb(217,214,214)	1.98	None
Thra	Itgb7	0.99435	0.99	0.273	rgb(220,165,165)	1.98	None
Vax2	Avpi1	0.99435	0.99	0.142	rgb(219,190,190)	1.98	None
Vax2	Cysltr1	0.99435	0.99	0.253	rgb(220,169,169)	1.98	2,2
Vax2	Il17re	0.99435	0.99	0.51	rgb(223,120,121)	1.98	2,2
Vax2	Ltb4r1	0.99435	0.99	0.336	rgb(221,153,154)	1.98	2,2
Vax2	Ppp1r14c	0.99435	0.99	0.415	rgb(222,138,139)	1.98	2,2
Zbtb7b	Fam129a	0.99435	0.99	0.33	rgb(221,154,155)	1.98	None
Zbtb7b	Myo18a	0.99435	0.99	0.154	rgb(219,188,188)	1.98	None
Zbtb7b	Otud7b	-0.99435	0.99	-5.0E-02	rgb(206,210,219)	1.98	None
Zbtb7b	Sh3bp1	0.99435	0.99	0.103	rgb(218,197,198)	1.98	None
Zfp467	Sspo	0.99435	0.99	0.342	rgb(221,152,152)	1.98	2,2
Zfp467	Stk39	0.99435	0.99	0.011	rgb(217,215,215)	1.98	None
Zfp467	Wnt10a	0.99435	0.99	0.593	rgb(224,104,105)	1.98	None
Arrb1	Acp5	0.99435	0.99	0.102	rgb(218,197,198)	1.98	2,2
Arrb1	Bcar1	0.99435	0.99	0.311	rgb(220,158,158)	1.98	2,2
Arrb1	Bnip3	0.99435	0.99	0.056	rgb(218,206,206)	1.98	2,2
Arrb1	Egln1	0.99435	0.99	0.511	rgb(223,119,120)	1.98	2,2
Arrb1	Pgm2	0.99435	0.99	0.318	rgb(220,156,157)	1.98	2,2
Arrb1	Slc2a1	0.99435	0.99	0.233	rgb(220,173,173)	1.98	2,2
Arrb1	Smtnl2	0.99435	0.99	0.093	rgb(218,199,200)	1.98	2,2
C030039L03Rik	Ankzf1	0.99435	0.99	0.477	rgb(222,126,127)	1.98	2,2
Dhx58	Cmpk2	0.99435	0.99	0.203	rgb(219,178,179)	1.98	2,2
Dhx58	Irf7	0.99435	0.99	0.596	rgb(224,103,104)	1.98	2,2
Eno1	Higd1a	0.99435	0.99	0.51	rgb(223,120,121)	1.98	2,2
Gm13212	Bcl2a1b	0.99435	0.99	0.095	rgb(218,199,199)	1.98	2,2
Gm13212	Cdkn2d	-0.99435	0.99	-2.3E-02	rgb(212,214,218)	1.98	2,2
Gm14420	Bcl2a1b	0.99435	0.99	0.013	rgb(217,215,215)	1.98	2,2
Gm14420	Cdkn2d	0.99435	0.99	0.315	rgb(220,157,157)	1.98	2,2
Gtf2a1	Nucks1	0.99435	0.99	0.537	rgb(223,114,115)	1.98	2,2
Kdm5d	Ppic	-0.99435	0.99	-3.7E-01	rgb(138,169,231)	1.98	2,2
Nfkbie	Nfkb2	0.99435	0.99	0.192	rgb(219,180,181)	1.98	2,2
Nupr1	Aldh1l2	0.99435	0.99	0.35	rgb(221,150,151)	1.98	2,2
