TF	Target	SignedQuantile	Stability	pCorr	stroke	stroke-width	stroke-dasharray
Irf9	Zbp1	-0.99463	0.99	-7.6E-02	rgb(200,207,220)	1.98	None
Jdp2	Pck2	0.99463	0.99	0.398	rgb(221,141,142)	1.98	2,2
Jdp2	Slc6a9	0.99463	0.99	0.357	rgb(221,149,150)	1.98	None
Jdp2	Slc7a3	0.99463	0.99	0.175	rgb(219,184,184)	1.98	2,2
Junb	Hook2	0.99463	0.99	0.476	rgb(222,126,127)	1.98	None
Junb	Sertad1	0.99463	0.99	0.311	rgb(220,158,158)	1.98	None
Jund	Cebpb	0.99463	0.99	0.438	rgb(222,133,134)	1.98	None
Klf4	Cacna1s	0.99463	0.99	0.534	rgb(223,115,116)	1.98	None
Klf4	Ccr7	0.99463	0.99	0.223	rgb(219,174,175)	1.98	None
Klf4	Tlk1	0.99463	0.99	0.225	rgb(219,174,174)	1.98	None
Klf7	Tsc22d3	-0.99463	0.99	-5.6E-02	rgb(205,210,219)	1.98	None
Maf	Ahr	0.99463	0.99	0.149	rgb(219,188,189)	1.98	None
Maf	Aqp3	0.99463	0.99	0.349	rgb(221,150,151)	1.98	None
Maf	Ctla2a	0.99463	0.99	0.536	rgb(223,115,116)	1.98	None
Maf	Egln3	0.99463	0.99	0.298	rgb(220,160,161)	1.98	None
Maf	Emp1	0.99463	0.99	0.369	rgb(221,147,147)	1.98	None
Maf	Gpr15	0.99463	0.99	0.077	rgb(218,202,203)	1.98	None
Maf	Il21	0.99463	0.99	0.452	rgb(222,131,131)	1.98	2,2
Maf	Ly6a	0.99463	0.99	0.152	rgb(219,188,188)	1.98	None
Maf	Malt1	0.99463	0.99	0.046	rgb(218,208,208)	1.98	None
Maf	Timp1	0.99463	0.99	0.255	rgb(220,168,169)	1.98	None
Mitf	Cyth1	0.99463	0.99	0.472	rgb(222,127,128)	1.98	None
Mxd1	Sema7a	0.99463	0.99	0.262	rgb(220,167,167)	1.98	None
Mxd1	Treml2	-0.99463	0.99	-1.0E-01	rgb(195,204,221)	1.98	None
Mxi1	Bnip3	0.99463	0.99	0.335	rgb(221,153,154)	1.98	None
Mxi1	Slc2a1	0.99463	0.99	0.026	rgb(217,212,212)	1.98	None
Mybl1	Gtse1	0.99463	0.99	0.126	rgb(218,193,193)	1.98	None
Myc	Nefh	0.99463	0.99	0.342	rgb(221,152,152)	1.98	None
Nfatc4	Fbxo2	0.99463	0.99	0.256	rgb(220,168,169)	1.98	None
Nfkb1	Atp6v0d2	-0.99463	0.99	-5.3E-01	rgb(101,146,237)	1.98	None
Nfkb2	Nfkbie	0.99463	0.99	0.221	rgb(219,175,175)	1.98	None
Nfkb2	Psd	0.99463	0.99	0.534	rgb(223,115,116)	1.98	2,2
Nkx3-1	Npr3	0.99463	0.99	0.151	rgb(219,188,189)	1.98	None
Nkx3-1	Slc39a14	0.99463	0.99	0.021	rgb(217,213,213)	1.98	2,2
Nr4a1	Inpp1	0.99463	0.99	0.387	rgb(221,143,144)	1.98	None
Nr4a1	Nr4a3	0.99463	0.99	0.276	rgb(220,164,165)	1.98	2,2
Plagl1	S1pr2	-0.99463	0.99	-4.2E-01	rgb(126,162,233)	1.98	None
Plagl1	Tspan13	0.99463	0.99	0.194	rgb(219,180,180)	1.98	None
Plagl1	Zdhhc2	0.99463	0.99	0.271	rgb(220,165,166)	1.98	None
Pparg	Kif3a	0.99463	0.99	0.153	rgb(219,188,188)	1.98	None
Rora	Ahr	0.99463	0.99	0.233	rgb(220,173,173)	1.98	None
Runx2	Myo1f	0.99463	0.99	0.152	rgb(219,188,188)	1.98	None
Runx2	Padi2	0.99463	0.99	0.332	rgb(221,154,154)	1.98	None
Rxra	Ptger4	0.99463	0.99	0.41	rgb(222,139,139)	1.98	None
Rxra	Slamf6	0.99463	0.99	0.268	rgb(220,166,166)	1.98	None
Satb1	Crem	-0.99463	0.99	-6.4E-02	rgb(203,209,219)	1.98	None
Smad3	Alpk2	0.99463	0.99	0.318	rgb(220,156,157)	1.98	None
Sox13	Alpl	0.99463	0.99	0.166	rgb(219,185,186)	1.98	None
Sox5	Serpinf1	0.99463	0.99	0.37	rgb(221,146,147)	1.98	None
Sp3	Sepp1	0.99463	0.99	0.16	rgb(219,186,187)	1.98	None
Spib	Fam129c	0.99463	0.99	0.24	rgb(220,171,172)	1.98	None
Srebf1	Abcg1	0.99463	0.99	0.334	rgb(221,153,154)	1.98	None
Srebf1	Fads2	0.99463	0.99	0.239	rgb(220,171,172)	1.98	None
Srebf2	Aacs	0.99463	0.99	0.398	rgb(221,141,142)	1.98	None
Srebf2	Cyp51	0.99463	0.99	0.558	rgb(223,110,111)	1.98	None
Srebf2	Dhcr24	0.99463	0.99	0.25	rgb(220,169,170)	1.98	None
Srebf2	Fads2	0.99463	0.99	0.244	rgb(220,170,171)	1.98	None
Stat1	Dtx3l	0.99463	0.99	0.407	rgb(221,139,140)	1.98	None
Stat1	Gbp10	0.99463	0.99	0.105	rgb(218,197,197)	1.98	None
Stat1	Gbp2	0.99463	0.99	0.131	rgb(218,192,192)	1.98	None
Stat1	Gbp5	-0.99463	0.99	-2.4E-02	rgb(212,214,218)	1.98	None
Stat1	Gbp6	0.99463	0.99	0.379	rgb(221,145,145)	1.98	2,2
Stat1	Gbp7	0.99463	0.99	0.028	rgb(217,212,212)	1.98	None
