TF	Target	SignedQuantile	Stability	pCorr	stroke	stroke-width	stroke-dasharray
Trp73	Ccng1	0.99467	0.99	0.011	rgb(217,215,215)	1.98	None
Trp73	Psrc1	0.99467	0.99	0.267	rgb(220,166,167)	1.98	2,2
Trp73	Zmat3	0.99467	0.99	0.384	rgb(221,144,144)	1.98	None
Zfp148	Ier3	0.99467	0.99	0.214	rgb(219,176,177)	1.98	None
Zfp148	Map3k1	0.99467	0.99	0.396	rgb(221,141,142)	1.98	None
Zfp202	Foxp3	0.99467	0.99	0.098	rgb(218,198,198)	1.98	None
Zfp36l2	Gpt2	0.99467	0.99	0.318	rgb(220,156,157)	1.98	None
Zfp36l2	Slc7a3	0.99467	0.99	0.296	rgb(220,160,161)	1.98	None
Zfp36l2	Vldlr	0.99467	0.99	0.309	rgb(220,158,159)	1.98	None
Zfp628	Rnf150	0.99467	0.99	0.164	rgb(219,186,186)	1.98	None
Arrb1	3110057O12Rik	0.99467	0.99	0.241	rgb(220,171,171)	1.98	2,2
Arrb1	Bcar1	0.99467	0.99	0.284	rgb(220,163,163)	1.98	2,2
Arrb1	Bnip3	0.99467	0.99	0.103	rgb(218,197,198)	1.98	2,2
Arrb1	Egln1	0.99467	0.99	0.189	rgb(219,181,181)	1.98	2,2
Arrb1	H2-Ab1	-0.99467	0.99	-7.0E-02	rgb(202,208,220)	1.98	2,2
Arrb1	Smtnl2	0.99467	0.99	0.123	rgb(218,194,194)	1.98	2,2
C030039L03Rik	Ankzf1	0.99467	0.99	0.31	rgb(220,158,158)	1.98	2,2
Dhx58	Irf7	0.99467	0.99	0.584	rgb(223,105,107)	1.98	2,2
Dr1	Smek2	0.99467	0.99	0.197	rgb(219,179,180)	1.98	2,2
Gtf2a1	Nucks1	0.99467	0.99	0.44	rgb(222,133,134)	1.98	2,2
Kdm5d	Ppic	-0.99467	0.99	-1.9E-01	rgb(175,192,224)	1.98	2,2
Nfkbie	Nfkb2	0.99467	0.99	0.372	rgb(221,146,147)	1.98	2,2
Nupr1	Aldh1l2	0.99467	0.99	0.418	rgb(222,137,138)	1.98	2,2
Nupr1	Eif4ebp1	0.99467	0.99	0.376	rgb(221,145,146)	1.98	2,2
Nupr1	Slc6a9	0.99467	0.99	0.463	rgb(222,129,130)	1.98	2,2
Nupr1	Slc7a3	0.99467	0.99	0.188	rgb(219,181,181)	1.98	2,2
Nupr1	Trib3	0.99467	0.99	0.347	rgb(221,151,151)	1.98	2,2
Trim30a	Irf7	0.99467	0.99	0.291	rgb(220,161,162)	1.98	2,2
