Regulator	Target	Weight	stroke
Hif1a	2210016f16rik	0.3275	rgb(219,186,186)
Zeb1	2210016f16rik	-0.64599	rgb(147,174,229)
Satb1	2210016l21rik	0.32572	rgb(219,186,186)
Tsc22d3	2210018m11rik	-0.76369	rgb(134,167,232)
Ddit3	2300009a05rik	-0.33604	rgb(181,195,223)
Ikzf4	2300009a05rik	-0.80151	rgb(130,164,232)
Nfatc2	2300009a05rik	0.34154	rgb(219,184,185)
Sp4	2300009a05rik	0.65307	rgb(221,155,155)
Tsc22d3	2310007l24rik	-1.172	rgb( 90,140,239)
Hif1a	2310011j03rik	0.33621	rgb(219,185,185)
Zeb1	2310011j03rik	0.26905	rgb(218,191,192)
Batf	2310022a10rik	-0.31969	rgb(182,196,223)
Tsc22d3	2310022a10rik	0.49627	rgb(220,170,170)
Batf	2310022b05rik	0.31108	rgb(219,187,188)
Hif1a	2310022b05rik	0.36196	rgb(219,182,183)
Ikzf3	2310022b05rik	0.32366	rgb(219,186,186)
Stat3	2310022b05rik	0.33619	rgb(219,185,185)
Ddit3	2310033p09rik	-0.32038	rgb(182,196,223)
Sp4	2310033p09rik	-0.6366	rgb(148,175,229)
Egr2	2310036o22rik	0.18962	rgb(218,199,199)
Ikzf4	2310036o22rik	0.29261	rgb(219,189,189)
Tsc22d3	2310036o22rik	-0.44055	rgb(169,188,225)
Zeb1	2310036o22rik	0.31156	rgb(219,187,188)
Atf6	2310039h08rik	0.34469	rgb(219,184,184)
Fosl2	2310039h08rik	0.34999	rgb(219,184,184)
Nfatc2	2310039h08rik	0.34014	rgb(219,185,185)
Zeb1	2310039h08rik	0.67341	rgb(221,153,153)
Pou2af1	2310045n01rik	0.29927	rgb(219,188,189)
Tsc22d3	2310045n01rik	-0.90513	rgb(119,157,234)
Ikzf3	2310057m21rik	-0.34566	rgb(179,194,224)
Ikzf4	2310057m21rik	0.35266	rgb(219,183,184)
Ikzf3	2410002f23rik	-0.33899	rgb(180,195,223)
Lef1	2410002f23rik	0.33724	rgb(219,185,185)
